"year","make","model","trim","side","curb_weight_lbs","status","source_url","source_tier","source_quote","notes"
2021,"Ford","Escape","SEL Hybrid","hev",3668,"shared_configuration","https://cars.usnews.com/cars-trucks/ford/escape-hybrid/2021/specs/escape-hybrid-sel-hybrid-awd-418505","secondary","Base Curb Weight (lbs.) 3668","2021 Escape SEL Hybrid AWD 2.5L HEV. Same year/model/HEV/AWD/body as 401878176. Opened this style page independently; it reports the same 3668 lb base curb weight."
2021,"Ford","Escape","SEL Hybrid","hev",3534,"exact","https://cars.usnews.com/cars-trucks/ford/escape-hybrid/2021/specs/escape-hybrid-sel-hybrid-fwd-418504","secondary","Base Curb Weight (lbs.) 3534","2021 Escape SEL Hybrid FWD 2.5L HEV. Opened U.S. News style page. KBB 2021 trim table lists a generic FWD-hybrid 3550 lb and does not split SEL FWD from SE FWD; not used."
2021,"Ford","Explorer","Platinum Hybrid","hev",,"unresolved","","none","","2021 Explorer Platinum Hybrid AWD 3.3L HEV. Opened 2022/2023 dealer Chrome pages give 5076 lb for Platinum 4WD with standard 3.3L Hybrid, but no 2021 AWD-hybrid page was opened. U.S. News 2021 Explorer Hybrid overview quotes 4969 lb without drivetrain, which matches RWD not AWD. Ambiguous for 2021 AWD."
2022,"Ford","Escape","SE Hybrid","hev",,"unresolved","","none","","2022 Escape SE Hybrid AWD 2.5L HEV. OEM 2022 brochure has no curb weight. Did not open a 2022 AWD-hybrid style page. 2021 AWD HEV is 3668 lb but year must match; not propagated."
2022,"Ford","Escape","SEL Hybrid","hev",,"unresolved","","none","","2022 Escape SEL Hybrid AWD 2.5L HEV. Same gap as 401915236: no opened 2022 AWD-hybrid source with a single curb weight."
2022,"Ford","Escape","SEL Hybrid","hev",3534,"exact","https://www.caranddriver.com/ford/escape-hybrid/specs/2022/ford_escape-hybrid_ford-escape-hybrid_2022","secondary","Base Curb Weight (pounds) 3534","2022 Escape SEL Hybrid FWD 2.5L HEV. Opened Car and Driver Chrome spec page titled SEL Hybrid FWD. Matches the 2021 SEL Hybrid FWD value but is taken from the 2022 page."
2022,"Ford","Explorer","Platinum Hybrid","hev",5076,"exact","https://www.rich-ford.com/models/2022/Ford/Explorer/Platinum_4WD/","secondary","Base Curb Weight – 5076 lbs","2022 Explorer Platinum Hybrid AWD 3.3L. Opened dealer model-research page: standard equipment is Engine: 3.3L Hybrid / Automatic Full-Time Four-Wheel Drive; technical specifications list Base Curb Weight 5076 lbs. 3.0L EcoBoost is an optional equipment group, not the listed base weight."
2022,"Ford","Explorer","Platinum Hybrid","hev",4969,"exact","https://www.columbineford.com/models/2022/Ford/Explorer/Platinum_RWD/","secondary","Base Curb Weight – 4969 lbs","2022 Explorer Platinum Hybrid RWD 3.3L. Opened dealer page: standard Engine: 3.3L Hybrid; Drivetrain Rear Wheel Drive; Base Curb Weight 4969 lbs."
2022,"Hyundai","Tucson","Limited Hybrid","hev",3752,"exact","https://web.archive.org/web/20221016052755/https://www.hyundaiusa.com/us/en/vehicles/tucson-hybrid/compare-specs","OEM","Curb weight (lbs.) 3644.0 3715.0 3752.0","2022 Tucson Limited Hybrid AWD 1.6T. Archived Hyundai USA spec table columns Blue / SEL Convenience / Limited. 2022 US Hybrid was AWD-only; single curb weight per trim. Same Limited 3752 on 2023-03-20 2022-model snapshot."
2023,"Ford","Explorer","Platinum Hybrid","hev",5076,"exact","https://www.billingsford.com/models/2023/Ford/Explorer/Platinum_4WD/","secondary","Base Curb Weight – 5076 lbs","2023 Explorer Platinum Hybrid AWD 3.3L. Opened dealer page: standard Engine: 3.3L Hybrid; Drivetrain Four Wheel Drive; Base Curb Weight 5076 lbs."
2023,"Ford","Explorer","Platinum Hybrid","hev",4969,"exact","https://www.randallreedsplanetford635.com/models/2023/Ford/Explorer/Platinum_RWD/","secondary","Base Curb Weight – 4969 lbs","2023 Explorer Platinum Hybrid RWD 3.3L. Opened dealer page: standard Engine: 3.3L Hybrid; Drivetrain Rear Wheel Drive; Base Curb Weight 4969 lbs."
2023,"Hyundai","Tucson","Limited Hybrid","hev",3794,"exact","https://web.archive.org/web/20230605235352/https://www.hyundaiusa.com/us/en/vehicles/tucson-hybrid/compare-specs","OEM","Curb weight (lbs.) 3648 3765 3794","2023 Tucson Limited Hybrid AWD 1.6T. Archived Hyundai USA 2023 spec table columns Blue / SEL Convenience / Limited. Early 2023 newsroom PDF listed TBD. Some secondary pages still show 3752 (2022 Limited); OEM 2023 Limited is 3794."
2025,"Ford","Escape","Platinum","hev",3684,"exact","https://www.kbb.com/ford/escape/2025/specs/","secondary","Curb Weight 3684 pounds","2025 Escape Platinum Hybrid AWD 2.5L HEV. Opened KBB 2025 comparison table: Platinum Hybrid row is AWD / 4-Cyl Hybrid 2.5 Liter / 3684 pounds. Ford 2025 technical specifications PDF only gives hybrid/PHEV range 3529-3880 lb (approx.), so not used as the value."
2025,"Ford","Escape","Platinum","ice",3574,"exact","https://www.kbb.com/ford/escape/2025/specs/","secondary","Curb Weight 3574 pounds","2025 Escape Platinum ICE AWD 2.0L EcoBoost. KBB table: Platinum gas row is AWD / 4-Cyl EcoBoost Turbo 2.0 Liter / 3574 pounds. Ford 2025 OEM PDF gasoline range is approx. 3273-3505 lb, which does not cover 3574; flagged as a source disagreement but the config-specific KBB figure is recorded rather than a guessed point inside the OEM range."
2025,"Ford","Escape","ST-Line","ice",,"unresolved","","none","","2025 Escape ST-Line ICE FWD 1.5L EcoBoost. KBB 2025 ST-Line row is listed as AWD at 3451 lb, not FWD. OEM gasoline range is 3273-3505 lb. No opened source gives a single FWD 1.5L ST-Line curb weight."
2025,"Ford","Escape","ST-Line Elite","hev",3684,"shared_configuration","https://www.kbb.com/ford/escape/2025/specs/","secondary","Curb Weight 3684 pounds","2025 Escape ST-Line Elite Hybrid AWD 2.5L HEV. Same KBB table lists ST-Line Elite Hybrid as AWD / 2.5L hybrid / 3684 pounds. Equipment-only difference from Platinum Hybrid AWD; source supports one value for that mechanical configuration."
2025,"Ford","Escape","ST-Line Elite","ice",3574,"shared_configuration","https://www.kbb.com/ford/escape/2025/specs/","secondary","Curb Weight 3574 pounds","2025 Escape ST-Line Elite ICE AWD 2.0L EcoBoost. Same KBB table lists ST-Line Elite gas as AWD / 2.0L EcoBoost / 3574 pounds. Shared with Platinum ICE AWD 2.0 (402037245). Same OEM-range discrepancy noted there."
2025,"Hyundai","Elantra","SEL Sport","hev",,"unresolved","https://www.hyundaiusa.com/us/en/vehicles/2025-elantra-hybrid/compare-specs","OEM","Curb weight (lbs.) 2,965 TBD 3,069","2025 Elantra Hybrid SEL Sport FWD 1.6L hybrid. OEM Blue/SEL Sport/Limited columns list 2965 / TBD / 3069. SEL Sport has 17-in wheels vs Blue 16-in and no sunroof vs Limited (headroom 40.6 vs 38.7). Did not share Blue 2965. Secondary 2965 listings appear to copy Blue."
2026,"Ford","Escape","Platinum","hev",,"unresolved","","none","","2026 Escape Platinum Hybrid AWD 2.5L HEV. No opened 2026 OEM spec sheet with a single curb weight. KBB 2026 Platinum Hybrid listing (3550s-3670s across pages) disagrees with the opened 2025 KBB 3684; not propagated across years."
2026,"Ford","Escape","Platinum","ice",,"unresolved","","none","","2026 Escape Platinum ICE AWD 2.0L EcoBoost. No opened 2026 config-specific curb weight. 2025 KBB 3574 not propagated."
2026,"Ford","Escape","ST-Line Elite","hev",,"unresolved","","none","","2026 Escape ST-Line Elite Hybrid AWD 2.5L HEV. Same 2026 gap as 402072416; no opened year-specific single value."
2026,"Ford","Escape","ST-Line Elite","ice",,"unresolved","","none","","2026 Escape ST-Line Elite ICE AWD 2.0L EcoBoost. Same 2026 ICE AWD gap as 402072418."
2026,"Hyundai","Elantra","SEL Sport","hev",,"unresolved","https://www.hyundaiusa.com/us/en/vehicles/elantra-hybrid/compare-specs","OEM","Curb weight (lbs.) 2,965 TBD 3,069","2026 Elantra Hybrid SEL Sport FWD 1.6L hybrid. OEM still lists SEL Sport curb weight as TBD between Blue 2965 and Limited 3069. Same wheel/sunroof differences as 2025. Not shared."
2026,"Hyundai","Palisade","Hybrid Calligraphy","hev",4938,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 7-passenger Not Available Not Available 4795 4795 4938 4938","2026 Palisade Hybrid Calligraphy AWD 2.5T hybrid. OEM seating is 7-passenger only (last column: 21-in wheels, length 199.4). April 2025 newsroom PDF still TBD; live Hyundai USA table used. KBB lists 5016 for some AWD hybrids; not used."
2026,"Hyundai","Palisade","Hybrid Calligraphy","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) FWD 7-passenger Not Available Not Available 4652 4652 4795 4795","2026 Palisade Hybrid Calligraphy FWD. OEM 7-passenger-only FWD weight in Calligraphy column. Inventory did not specify seating; Calligraphy has no 8-passenger listing."
2026,"Hyundai","Palisade","Hybrid Limited","hev",4938,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 7-passenger Not Available Not Available 4795 4795 4938 4938","2026 Palisade Hybrid Limited AWD. OEM Limited is 7-passenger only (20-in wheels); same AWD 7-passenger weight as Calligraphy. KBB 5016 not used."
2026,"Hyundai","Palisade","Hybrid Limited","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) FWD 7-passenger Not Available Not Available 4652 4652 4795 4795","2026 Palisade Hybrid Limited FWD. OEM 7-passenger-only FWD weight in Limited column."
2026,"Hyundai","Palisade","Hybrid SEL","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 7-passenger Not Available Not Available 4795 4795 4938 4938","2026 Palisade Hybrid SEL AWD with 7-passenger seating. OEM SEL column (3rd of 6: 7 available 8, 18-in wheels) lists AWD 7-passenger 4795. Same number as SEL 8-passenger AWD; not inferred."
2026,"Hyundai","Palisade","Hybrid SEL","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 8-passenger 4795 4795 4795 4795 N/A N/A","2026 Palisade Hybrid SEL AWD with 8-passenger seating. OEM SEL column AWD 8-passenger 4795."
2026,"Hyundai","Palisade","Hybrid SEL Premium","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 7-passenger Not Available Not Available 4795 4795 4938 4938","2026 Palisade Hybrid SEL Premium AWD 7-passenger. OEM SEL Premium column (4th of 6) AWD 7-passenger 4795."
2026,"Hyundai","Palisade","Hybrid SEL Premium","hev",4795,"exact","https://www.hyundaiusa.com/us/en/vehicles/2026-palisade-hybrid/compare-specs","OEM","Curb weight (lbs.) AWD 8-passenger 4795 4795 4795 4795 N/A N/A","2026 Palisade Hybrid SEL Premium AWD 8-passenger. OEM SEL Premium column AWD 8-passenger 4795."
2026,"Hyundai","Tucson","Hybrid Limited","hev",3920,"exact","https://www.hyundaiusa.com/us/en/vehicles/tucson-hybrid/compare-specs","OEM","Curb weight (lbs.) 3,593 / 3,719 3,647 / 3,773 3,665 / 3,790 3,794 / 3,920","2026 Tucson Hybrid Limited AWD 1.6T. OEM columns SE / SEL / SEL Convenience / Limited as FWD/AWD pairs. Limited is AWD-only (FWD EPA N/A); used AWD figure 3920."
2026,"Hyundai","Tucson","Hybrid SEL","hev",3773,"exact","https://www.hyundaiusa.com/us/en/vehicles/tucson-hybrid/compare-specs","OEM","Curb weight (lbs.) 3,593 / 3,719 3,647 / 3,773 3,665 / 3,790 3,794 / 3,920","2026 Tucson Hybrid SEL AWD 1.6T (not SEL Convenience). OEM SEL column FWD/AWD 3647/3773; used AWD 3773. SEL Convenience AWD is 3790."
2026,"Hyundai","Tucson","Limited","ice",3800,"exact","https://www.hyundaiusa.com/us/en/vehicles/tucson/compare-specs","OEM","Curb weight (lbs., FWD/AWD) 3,429 / 3,572 3,494 / 3,638 3,494 / 3,638 3,526 / 3,713 3,533 / 3,676 3,657 / 3,800","2026 Tucson Limited ICE AWD 2.5L 8A. OEM columns SE / SEL / SEL Plus / XRT / SEL Premium / Limited; Limited AWD 3800."
2026,"Hyundai","Tucson","SEL","ice",3638,"exact","https://www.hyundaiusa.com/us/en/vehicles/tucson/compare-specs","OEM","Curb weight (lbs., FWD/AWD) 3,429 / 3,572 3,494 / 3,638 3,494 / 3,638 3,526 / 3,713 3,533 / 3,676 3,657 / 3,800","2026 Tucson SEL ICE AWD 2.5L 8A. OEM SEL column FWD/AWD 3494/3638; used AWD 3638. SEL Plus AWD is also 3638; XRT AWD is 3713."
